,City,Country,Cloudiness (%),Humidity (%),Max Temp (FÂ°),Wind Speed (mph),Lat,Long,Date Checked
283,Provideniya,RU,90,93,37.4,4.81,64.42,-173.23,1559591976
284,Lethem,GY,88,50,90.38,8.72,3.38,-59.8,1559591978
285,Srinivaspur,IN,40,100,75.2,3.36,13.34,78.21,1559591979
286,Tura,IN,1,84,77.06,7.29,25.52,90.21,1559591981
287,Kaohsiung,TW,75,88,82.0,2.24,22.62,120.31,1559591983
288,Puerto Ayora,EC,75,65,82.4,17.22,-0.74,-90.35,1559591984
289,Marienburg,DE,20,93,66.2,1.12,52.12,9.98,1559591986
290,Mangai,CD,85,43,73.1,0.96,-4.07,19.59,1559591987
291,Kungurtug,RU,1,63,29.36,3.44,50.6,97.53,1559591988
292,Mount Pleasant,US,40,58,93.2,9.17,33.16,-94.97,1559591841
293,Caconda,AO,0,35,58.88,4.18,-13.73,15.06,1559591993
294,Ostrovnoy,RU,1,81,34.22,1.48,68.05,39.51,1559591994
295,Vao,EE,0,66,58.16,9.33,59.1,26.19,1559591995
296,Skiathos,GR,40,72,66.2,7.58,39.16,23.49,1559591997
297,Kiama,AU,75,100,53.01,26.4,-34.67,150.86,1559591998
298,Cayenne,GF,75,88,77.0,7.47,4.94,-52.33,1559591999
299,Sawakin,SD,2,30,88.4,3.69,19.1,37.33,1559592001
300,Igarka,RU,0,89,31.52,3.94,67.47,86.57,1559592002
301,Nushki,PK,85,17,80.3,4.38,29.55,66.02,1559592003
302,Serebryanyy Bor,RU,21,72,49.88,3.65,56.8,124.8,1559592005
303,Cidreira,BR,3,71,62.66,7.38,-30.17,-50.22,1559592006
304,Ossora,RU,99,97,40.88,4.83,59.24,163.07,1559592007
305,Burns Lake,CA,56,59,52.4,12.3,54.23,-125.76,1559592009
306,Coahuayana,MX,91,31,101.18,2.51,18.62,-100.35,1559592010
307,Mabay,CU,75,49,91.4,3.36,20.35,-76.78,1559592011
308,Qujing,CN,13,90,58.7,4.7,25.49,103.8,1559592013
309,Santa Ana,SV,98,74,80.3,8.25,13.99,-89.56,1559591891
310,Plainfield,US,1,47,78.01,4.7,39.7,-86.4,1559591782
311,Gumdag,TM,2,29,81.74,6.53,39.2,54.59,1559592018
312,Plettenberg Bay,ZA,1,48,61.4,1.57,-34.05,23.37,1559592019
313,Morondava,MG,54,70,79.58,13.38,-20.3,44.28,1559592021
314,Lashio,MM,15,84,68.78,1.1,22.93,97.75,1559592022
315,Imeni Poliny Osipenko,RU,37,75,51.68,0.49,52.42,136.49,1559592023
316,Dingtao,CN,2,54,75.8,4.16,35.07,115.56,1559592025
317,Bongouanou,CI,100,98,74.0,2.98,6.65,-4.2,1559592026
318,Gondanglegi,ID,100,94,72.02,5.5,-7.75,112.01,1559592028
319,Sydney,AU,75,87,46.99,19.46,-33.85,151.22,1559591819
320,Bonthe,SL,100,86,79.4,8.63,7.53,-12.5,1559592030
321,Eydhafushi,MV,100,76,83.72,13.27,5.1,73.07,1559592032
322,Sancel,RO,75,93,63.0,9.17,46.2,23.95,1559592033
323,Pahrump,US,40,15,91.99,1.9,36.21,-115.98,1559591767
324,Wilmington,US,1,51,73.0,14.99,39.75,-75.55,1559591904
325,Sur,OM,0,52,90.38,13.42,22.57,59.53,1559592037
326,Paris,FR,0,56,69.01,2.24,48.86,2.35,1559591821
327,Lakselv,NO,0,65,48.2,6.93,70.05,24.96,1559592040
328,Thompson,CA,90,41,59.0,4.7,55.74,-97.86,1559592041
329,Kommunar,RU,0,54,55.4,2.24,59.62,30.39,1559592043
330,Evanston,US,1,34,75.0,5.82,42.04,-87.69,1559592038
331,Hazorasp,UZ,0,60,73.4,5.08,41.32,61.08,1559592045
332,Papayal,EC,90,93,57.2,4.7,-2.43,-79.18,1559592047
333,Brooks,CA,4,30,82.0,8.99,50.57,-111.89,1559592048
334,Manavalakurichi,IN,40,83,82.4,3.36,8.13,77.3,1559592050
335,Lasa,CY,0,60,77.0,3.36,34.92,32.53,1559592051
336,Cockburn Town,TC,0,80,81.56,12.8,21.46,-71.14,1559592053
337,Sidi Ali,DZ,61,72,71.66,4.97,36.1,0.42,1559592054
338,Maua,KE,100,99,52.22,3.98,0.23,37.94,1559592055
339,Anzhero-Sudzhensk,RU,40,100,50.0,6.71,56.08,86.02,1559592057
340,Morehead,US,1,33,73.4,6.6,38.18,-83.43,1559592058
341,Chernushka,RU,16,95,54.38,14.14,56.5,56.08,1559592060
342,Vila Franca do Campo,PT,75,68,69.8,14.99,37.72,-25.43,1559592061
343,Sambava,MG,1,90,65.72,3.51,-14.27,50.17,1559592062
344,Florianopolis,BR,75,77,71.01,5.82,-27.6,-48.55,1559591812
345,Am Timan,TD,100,44,92.18,9.01,11.04,20.28,1559592065
346,Chumphon,TH,100,95,75.98,2.15,10.5,99.18,1559592066
347,Martapura,ID,100,90,78.5,7.92,-3.41,114.85,1559592068
348,Guatire,VE,95,51,84.99,4.79,10.47,-66.54,1559592068
349,Havre-Saint-Pierre,CA,90,76,53.6,16.11,50.23,-63.6,1559592070
350,Abnub,EG,0,29,91.4,13.87,27.27,31.15,1559592072
351,Umm Kaddadah,SD,80,33,92.0,17.58,13.6,26.69,1559592073
352,Mugur-Aksy,RU,63,76,32.6,5.41,50.38,90.44,1559592074
353,Talnakh,RU,0,86,33.8,4.47,69.49,88.39,1559592076
354,Chumikan,RU,100,84,45.92,0.27,54.72,135.31,1559592077
355,Campos Altos,BR,79,84,64.28,6.89,-19.7,-46.17,1559592078
356,Beyneu,KZ,2,17,86.6,6.55,45.32,55.19,1559592080
357,San Patricio,PY,0,85,62.12,3.89,-26.98,-56.83,1559592082
358,Norman Wells,CA,90,93,41.0,5.82,65.28,-126.83,1559592083
359,Kavieng,PG,100,78,83.72,12.06,-2.57,150.8,1559592085
360,Barnsley,GB,0,48,62.6,10.29,53.55,-1.48,1559591982
361,Saint-Francois,FR,0,72,68.0,5.82,46.42,3.91,1559592087
362,Dubbo,AU,75,87,44.6,16.11,-32.25,148.6,1559592089
363,Srandakan,ID,100,82,79.58,12.64,-7.94,110.25,1559592090
364,Bambanglipuro,ID,100,82,79.58,12.64,-7.95,110.28,1559592091
365,Haradok,BY,0,77,54.74,4.36,55.46,29.99,1559592093
366,Nanortalik,GL,0,83,36.74,9.04,60.14,-45.24,1559591984
367,Lancaster,US,1,34,70.0,17.22,40.04,-76.31,1559591936
368,Angatuba,BR,22,92,63.92,4.94,-23.49,-48.41,1559592097
369,Muisne,EC,75,83,82.4,9.17,0.61,-80.02,1559592099
370,Pascagoula,US,75,41,98.01,3.36,30.37,-88.56,1559592031
371,Killybegs,IE,20,71,53.6,17.22,54.63,-8.45,1559592102
372,Halifax,CA,75,88,62.6,16.11,44.65,-63.58,1559592099
373,Aksu,KZ,0,81,51.8,4.47,52.04,76.93,1559592104
374,Sibu,MY,75,100,75.2,2.71,2.29,111.83,1559592106
375,Neiafu,TO,40,94,71.6,13.89,-18.65,-173.98,1559592107
376,Suntar,RU,100,87,48.8,3.78,62.16,117.65,1559592108
377,Black Forest,AU,20,93,46.99,10.98,-34.96,138.58,1559592110
378,Kualakapuas,ID,99,98,74.54,0.96,-3.01,114.39,1559592111
379,Leshukonskoye,RU,1,81,36.38,5.06,64.9,45.76,1559592112
380,Buy,RU,2,75,46.28,5.28,58.48,41.53,1559592114
381,Fort Dodge,US,1,56,73.0,11.41,42.5,-94.17,1559592030
382,Umm Lajj,SA,35,59,88.58,9.57,25.02,37.27,1559591895
383,Antsohihy,MG,72,65,77.78,17.6,-14.88,47.99,1559592117
384,Matoury,GF,75,88,77.0,7.47,4.85,-52.33,1559592119
385,Billings,US,20,26,84.2,17.22,45.79,-108.5,1559591837
386,Mujiayingzi,CN,66,81,53.12,3.15,42.12,118.78,1559592121
387,Arnstadt,DE,0,72,69.01,3.36,50.83,10.95,1559592123
388,Chifeng,CN,67,82,53.66,2.35,42.27,118.96,1559592124
389,Fort Frances,CA,20,51,64.0,10.29,48.61,-93.4,1559592094
390,Flic en Flac,MU,75,69,73.4,14.99,-20.27,57.36,1559592126
391,Mogadishu,SO,100,78,78.14,11.43,2.04,45.34,1559591967
392,Strezhevoy,RU,0,81,46.4,2.24,60.73,77.6,1559592129
393,Beoumi,CI,40,94,77.0,4.7,7.67,-5.58,1559592130
394,Nioro,GM,16,29,92.18,15.37,13.79,-15.05,1559592132
395,Bam,IR,99,25,68.24,6.87,29.11,58.36,1559592133
396,Mnogovershinnyy,RU,100,90,39.98,3.85,53.94,139.92,1559592134
397,Inhambane,MZ,0,97,63.02,3.98,-23.87,35.38,1559592135
398,Qaqortoq,GL,20,40,53.6,8.05,60.72,-46.03,1559592137
399,Batemans Bay,AU,87,71,51.01,8.01,-35.71,150.18,1559592138
400,Rapina,EE,1,62,62.6,4.47,58.1,27.46,1559592140
401,Puerto Leguizamo,CO,100,90,80.48,2.3,-0.19,-74.78,1559592141
402,Abu Samrah,SY,0,35,80.12,12.3,35.3,37.18,1559592142
403,Vieux-Habitants,GP,25,94,80.6,4.7,16.06,-61.77,1559592144
404,Kichera,RU,93,78,40.88,6.15,55.93,110.1,1559592145
405,Placido de Castro,BR,8,93,79.04,2.55,-10.34,-67.19,1559592146
406,Kuldur,RU,0,75,52.4,1.74,49.22,131.63,1559592148
407,Priargunsk,RU,100,69,57.26,6.13,50.37,119.09,1559592149
408,Acapulco,MX,75,70,87.8,9.17,16.86,-99.88,1559592151
409,Nouadhibou,MR,20,88,68.0,18.34,20.93,-17.03,1559592153
410,Tagusao,PH,100,73,83.36,3.6,9.19,117.81,1559592154
411,Butte,US,20,25,77.0,11.41,46.01,-112.54,1559592156
412,Lubango,AO,0,46,64.64,2.57,-14.92,13.49,1559592157
413,Tres Arroyos,AR,19,41,54.56,5.88,-38.38,-60.28,1559592158
414,Mastung,PK,72,19,73.82,7.81,29.8,66.85,1559592160
415,Jiangyou,CN,8,74,58.34,4.97,31.78,104.73,1559592161
416,Sarangani,PH,100,75,84.26,11.77,5.4,125.46,1559592162
417,Uribia,CO,98,46,93.62,10.54,11.71,-72.27,1559592164
418,Salalah,OM,40,84,86.0,10.29,17.01,54.1,1559592165
419,Lima,PE,90,77,66.2,5.82,-12.06,-77.04,1559592144
420,Aitape,PG,63,81,78.5,3.83,-3.15,142.36,1559592168
421,Balaguer,ES,20,40,73.4,10.29,41.79,0.81,1559592169
422,Lerwick,GB,75,87,50.0,28.86,60.15,-1.15,1559592170
423,Alakurtti,RU,100,61,48.99,4.0,66.96,30.34,1559592172
424,Galesong,ID,20,94,77.0,6.93,-5.32,119.37,1559592173
425,Arlit,NE,65,29,97.58,11.61,18.74,7.39,1559592174
426,Tabuk,PH,69,97,66.26,3.58,17.41,121.44,1559592175
427,Dongsheng,CN,0,66,75.8,9.1,29.72,112.52,1559592177
428,Denpasar,ID,40,94,78.8,7.61,-8.65,115.22,1559591889
429,Pomabamba,PE,42,57,48.44,10.69,-8.82,-77.46,1559592180
430,Meulaboh,ID,100,81,81.38,6.04,4.14,96.13,1559592181
431,Vestmanna,FO,75,93,46.4,23.04,62.16,-7.17,1559592182
432,Denholm,GB,41,71,54.0,12.75,55.46,-2.68,1559592184
433,Ratnagiri,IN,86,78,84.98,8.01,16.98,73.3,1559591958
434,Hambantota,LK,100,82,83.0,17.65,6.12,81.12,1559592187
435,Sapele,NG,100,91,77.24,3.69,5.89,5.68,1559592188
436,Kavaratti,IN,100,74,85.88,9.26,10.57,72.64,1559592190
437,Carmen,PH,100,85,75.26,0.98,7.2,124.8,1559592191
438,Funadhoo,MV,100,74,84.62,13.18,6.15,73.27,1559592192
439,Cherskiy,RU,98,66,38.72,20.8,68.75,161.3,1559592194
440,Yar-Sale,RU,33,73,42.14,13.13,66.83,70.83,1559592195
441,Bowen,AU,96,93,60.01,4.7,-20.01,148.25,1559592196
442,Coevorden,NL,3,72,64.99,2.24,52.66,6.74,1559592197
443,Kieta,PG,5,77,82.46,7.25,-6.22,155.63,1559592199
444,Forestville,CA,75,71,55.4,10.29,48.74,-69.09,1559592200
445,Mayumba,GA,36,86,75.44,5.39,-3.44,10.65,1559592202
446,Pangody,RU,56,74,47.9,10.67,65.85,74.49,1559592204
447,Ponta do Sol,BR,99,90,64.28,5.88,-20.63,-46.0,1559592209
448,Kyaikkami,MM,99,80,83.54,5.86,16.08,97.57,1559592210
449,Lapusnicel,RO,46,95,53.84,2.55,44.98,22.23,1559592212
450,Oriximina,BR,0,67,87.14,4.18,-1.77,-55.87,1559592213
451,Mulege,MX,0,65,79.22,17.83,26.88,-111.98,1559592214
452,Vardo,US,1,33,72.0,13.87,39.62,-77.74,1559592215
453,Carutapera,BR,49,88,79.22,4.79,-1.2,-46.02,1559592217
454,Puerto Carreno,CO,40,59,89.6,3.02,6.19,-67.49,1559592075
455,Bathsheba,BB,40,66,87.8,17.22,13.22,-59.52,1559592219
456,Xuddur,SO,91,70,75.98,14.43,4.12,43.89,1559592220
457,Dedougou,BF,100,37,95.24,10.02,12.47,-3.47,1559592222
458,Boldumsaz,TM,0,39,80.6,4.7,42.13,59.67,1559592223
459,Suhut,TR,42,73,57.62,2.37,38.53,30.55,1559592225
460,Sokoni,CD,0,77,52.22,4.21,-12.89,28.78,1559592226
461,Lata,IN,1,67,35.66,10.98,30.78,78.62,1559592227
462,Paracuru,BR,20,66,84.2,11.41,-3.41,-39.03,1559592229
463,Salta,AR,0,43,69.8,3.36,-24.79,-65.41,1559592230
464,Sicamous,CA,75,25,75.99,12.75,50.84,-118.99,1559592232
465,Winnemucca,US,1,36,77.0,3.15,40.97,-117.74,1559592233
466,Cranbrook,CA,75,25,77.0,10.29,49.51,-115.76,1559592234
467,Nabire,ID,100,99,70.58,2.35,-3.36,135.5,1559592236
468,Batagay-Alyta,RU,100,82,38.72,11.03,67.8,130.41,1559592237
469,Plast,RU,73,75,57.62,5.48,54.37,60.81,1559592238
470,Maputo,MZ,0,82,66.2,2.24,-25.97,32.57,1559592012
471,Nishihara,JP,75,88,68.0,4.7,35.74,139.53,1559592241
472,Kargasok,RU,94,96,48.08,4.43,59.06,80.87,1559592242
473,Tsiroanomandidy,MG,59,85,64.28,1.34,-18.77,46.05,1559592244
474,Fandriana,MG,81,91,56.72,8.75,-20.24,47.38,1559592247
475,Mocuba,MZ,1,88,64.28,6.82,-16.84,36.99,1559592248
476,Los Llanos de Aridane,ES,0,78,72.0,14.99,28.66,-17.92,1559592250
477,Marolambo,MG,100,99,61.4,1.68,-20.05,48.13,1559592251
478,Russell,AR,0,44,60.8,6.93,-33.01,-68.8,1559592252
479,Santa Maria,BR,40,68,68.0,2.24,-29.69,-53.81,1559592255
480,Nicoya,CR,40,50,95.0,6.93,10.15,-85.45,1559592256
481,Hualmay,PE,58,90,62.48,16.26,-11.1,-77.61,1559592257
482,Cairns,AU,90,49,69.8,9.17,-16.92,145.77,1559591980
483,Kirovskiy,RU,100,94,55.64,1.45,45.09,133.51,1559592260
484,Pangai,TO,40,83,73.4,5.82,-19.8,-174.35,1559592261
485,Raymond,US,90,33,70.0,16.11,43.04,-71.18,1559592185
486,Ergani,TR,0,41,77.0,4.7,38.27,39.76,1559592181
487,Laguna,MX,75,43,87.8,10.29,27.52,-110.01,1559592266
488,Tessalit,ML,0,10,94.52,9.15,20.2,1.01,1559592267
489,Corinth,GR,40,52,71.01,9.17,37.94,22.93,1559592268
490,Guamuchil,MX,0,46,90.2,12.8,25.47,-108.1,1559592017
491,Hita,JP,75,83,73.99,3.36,33.31,130.95,1559592271
492,Dongkan,CN,65,69,68.96,6.31,34.0,119.83,1559592273
493,Rocha,UY,2,90,52.94,5.57,-34.48,-54.34,1559592275
494,Cabra,ES,0,16,87.8,6.93,37.47,-4.43,1559592276
495,Sao Sebastiao,BR,20,74,87.8,3.36,-3.15,-58.36,1559592278
496,Mazagao,BR,75,70,86.0,4.7,-0.12,-51.29,1559592280
497,Pecos,US,1,35,89.6,12.75,31.42,-103.49,1559592282
498,Noumea,NC,0,82,62.6,2.24,-22.28,166.46,1559592144
499,Tanabi,BR,90,78,71.6,5.82,-20.63,-49.65,1559592204
500,Tiruppuvanam,IN,20,79,84.2,11.3,9.83,78.27,1559592286
501,Balikpapan,ID,100,100,72.38,2.35,-1.24,116.86,1559592287
502,Ponta Delgada,PT,75,68,69.8,14.99,37.73,-25.67,1559592289
503,Menongue,AO,0,38,54.92,4.14,-14.66,17.68,1559592290
504,Quezon,PH,18,91,64.64,2.66,16.49,121.26,1559592291
505,Skagen,SE,100,72,64.4,11.41,58.6,13.44,1559592293
506,Matara,PE,40,44,59.0,9.08,-13.74,-72.9,1559592294
507,Emilio Carranza,MX,45,46,88.58,6.26,19.97,-96.61,1559592295
508,Qingdao,CN,0,77,69.8,11.18,36.09,120.35,1559592297
509,Isahaya,JP,75,83,75.0,2.24,32.87,130.06,1559592300
510,Collie,AU,0,47,48.0,4.27,-33.36,116.15,1559592302
511,Pochutla,MX,90,70,84.2,9.17,15.74,-96.47,1559592303
512,Goba,ET,100,88,50.42,4.34,7.01,39.97,1559592304
513,Liptovsky Hradok,SK,40,77,68.0,6.93,49.04,19.72,1559592306
514,Quatre Cocos,MU,75,69,73.4,14.99,-20.21,57.76,1559592308
515,Manzhouli,CN,61,67,54.38,11.97,49.6,117.43,1559592309
516,Rock Hill,US,1,29,88.0,4.7,34.92,-81.03,1559592060
517,Gushikawa,JP,75,88,80.6,16.11,26.35,127.87,1559592312
518,Canete,IT,0,71,75.2,2.24,46.33,9.49,1559592313
519,Sorland,NO,0,58,55.4,6.93,67.67,12.69,1559592314
520,Sibolga,ID,100,76,82.1,3.67,1.74,98.78,1559592068
521,Yaring,TH,100,80,81.2,7.29,6.87,101.37,1559592317
522,Saint-Pierre,FR,0,88,64.0,4.7,48.95,4.24,1559592319
523,Almaznyy,RU,0,88,69.8,8.95,48.03,40.04,1559592320
524,Mount Hagen,PG,84,95,51.32,2.62,-5.86,144.23,1559592324
525,Seoul,KR,1,72,64.4,9.64,37.57,126.98,1559592269
526,Kahului,US,40,48,87.01,18.34,20.89,-156.47,1559592192
527,Zhob,PK,3,15,69.86,13.06,31.34,69.45,1559592327
528,Severnoye,RU,0,89,55.64,10.45,54.09,52.54,1559592329
529,Nikolsk,RU,0,82,43.76,5.41,59.53,45.45,1559592330
530,Vallejo,US,1,64,84.0,7.09,38.1,-122.26,1559592261
531,Yerbogachen,RU,0,81,41.78,1.36,61.28,108.01,1559592334
532,Akureyri,IS,75,91,41.0,17.22,65.68,-18.09,1559592336
533,Ugoofaaru,MV,100,76,84.62,13.6,5.67,73.0,1559592337
534,Klyuchi,RU,0,78,52.76,7.16,52.25,79.17,1559592338
535,Shihezi,CN,58,26,72.2,10.67,44.3,86.03,1559592340
536,Bajil,ES,3,28,68.06,4.18,38.23,-2.07,1559592341
537,Stonewall,CA,75,67,75.99,24.16,50.13,-97.33,1559592320
538,Nara,JP,75,88,69.8,4.7,34.68,135.8,1559592344
539,Lixourion,GR,40,93,69.01,4.7,38.2,20.43,1559592345
540,Orikum,AL,100,84,65.36,17.36,40.33,19.47,1559592346
541,Samana,EC,90,94,73.4,6.93,0.12,-76.97,1559592348
542,Saint-Ambroise,FR,0,68,66.2,4.25,47.25,-0.65,1559592349
543,Nador,MA,44,82,69.8,3.36,35.17,-2.93,1559592350
544,Filadelfia,PY,0,66,68.96,5.66,-22.35,-60.04,1559592351
545,Narrabri,AU,90,75,46.0,10.29,-30.33,149.78,1559592353
546,Ambon,FR,0,72,61.0,3.36,47.55,-2.56,1559592354
547,Ngunguru,NZ,0,93,46.0,8.52,-35.62,174.5,1559592355
548,Padre Paraiso,BR,0,62,67.7,2.75,-17.07,-41.48,1559592357
549,Manadhoo,MV,100,74,84.62,13.18,5.77,73.38,1559592358
550,Dunedin,NZ,3,72,41.0,21.99,-45.87,170.5,1559592089
551,Sept-Iles,CA,90,100,46.0,9.17,50.2,-66.38,1559592361
552,Boa Vista,BR,75,88,77.0,3.36,2.82,-60.67,1559592363
553,Deputatskiy,RU,0,73,37.64,10.47,69.3,139.9,1559592364
554,Ayios Yeoryios,GR,40,52,70.0,9.17,38.4,22.93,1559592365
555,Poum,MK,75,87,53.6,3.36,41.28,20.71,1559592367
556,Maceio,BR,20,69,78.8,8.05,-9.67,-35.74,1559592368
557,Sumbe,AO,0,90,75.08,11.34,-11.2,13.84,1559592369
558,Sirsilla,IN,100,50,86.96,19.04,18.39,78.81,1559592371
559,Saint-Leu,RE,0,64,71.6,11.41,-21.15,55.28,1559592372
560,Sri Aman,MY,100,100,75.2,1.34,1.24,111.46,1559592373
561,Zenzeli,RU,80,66,72.02,5.93,45.92,47.05,1559592375
562,Coffs Harbour,AU,0,93,48.2,6.93,-30.3,153.13,1559592334
563,Solnechnyy,RU,2,71,52.76,2.13,50.72,136.64,1559592377
564,Manjacaze,MZ,0,88,65.36,3.8,-24.71,33.88,1559592379
565,Chukhloma,RU,3,75,45.74,5.08,58.76,42.68,1559592380
566,Caltanissetta,IT,0,70,68.0,1.01,37.49,14.06,1559592381
